latitude,longitude,updated_type,updated_subtype,alert count
41.64,-87.62,Hazard,On Road,14
41.64,-87.59,Accident,Major,1
41.64,-87.59,Accident,Unclassified,4
41.64,-87.59,Hazard,On Road,24
41.64,-87.59,Hazard,On Shoulder,89
41.64,-87.59,Hazard,Weather,2
41.64,-87.59,Jam,Heavy Traffic,15
41.64,-87.59,Jam,Stand Still Traffic,5
41.64,-87.59,Jam,Unclassified,2
41.64,-87.58,Accident,Major,2
41.64,-87.58,Accident,Unclassified,6
41.64,-87.58,Hazard,On Road,47
41.64,-87.58,Hazard,On Shoulder,202
41.64,-87.58,Hazard,Unclassified,1
41.64,-87.58,Hazard,Weather,3
41.64,-87.58,Jam,Heavy Traffic,10
41.64,-87.58,Jam,Stand Still Traffic,8
41.64,-87.58,Jam,Unclassified,11
41.64,-87.56,Accident,Major,1
41.64,-87.56,Hazard,On Road,11
41.64,-87.56,Hazard,On Shoulder,3
41.64,-87.56,Hazard,Weather,4
41.64,-87.56,Jam,Stand Still Traffic,1
41.64,-87.56,Jam,Unclassified,1
41.65,-87.65,Hazard,On Road,11
41.65,-87.65,Hazard,On Shoulder,2
41.65,-87.65,Hazard,Weather,2
41.65,-87.65,Jam,Heavy Traffic,1
41.65,-87.64,Hazard,On Road,1
41.65,-87.62,Accident,Minor,1
41.65,-87.62,Accident,Unclassified,6
41.65,-87.62,Hazard,On Road,49
41.65,-87.62,Hazard,On Shoulder,17
41.65,-87.62,Hazard,Weather,3
41.65,-87.62,Jam,Heavy Traffic,10
41.65,-87.62,Jam,Stand Still Traffic,17
41.65,-87.62,Jam,Unclassified,7
41.65,-87.62,Road Closed,Unclassified,1
41.65,-87.61,Accident,Unclassified,4
41.65,-87.61,Hazard,On Road,35
41.65,-87.61,Hazard,On Shoulder,19
41.65,-87.61,Hazard,Unclassified,1
41.65,-87.61,Hazard,Weather,7
41.65,-87.61,Jam,Stand Still Traffic,1
41.65,-87.61,Jam,Unclassified,6
41.65,-87.6,Accident,Major,2
41.65,-87.6,Accident,Unclassified,3
41.65,-87.6,Hazard,On Road,33
41.65,-87.6,Hazard,On Shoulder,54
41.65,-87.6,Jam,Unclassified,6
41.65,-87.59,Accident,Major,51
41.65,-87.59,Accident,Minor,17
41.65,-87.59,Accident,Unclassified,103
41.65,-87.59,Hazard,On Road,691
41.65,-87.59,Hazard,On Shoulder,2993
41.65,-87.59,Hazard,Unclassified,10
41.65,-87.59,Hazard,Weather,176
41.65,-87.59,Jam,Heavy Traffic,288
41.65,-87.59,Jam,Moderate Traffic,14
41.65,-87.59,Jam,Stand Still Traffic,132
41.65,-87.59,Jam,Unclassified,142
41.65,-87.59,Road Closed,Event,3
41.65,-87.59,Road Closed,Unclassified,4
41.65,-87.58,Accident,Major,3
41.65,-87.58,Accident,Minor,3
41.65,-87.58,Accident,Unclassified,12
41.65,-87.58,Hazard,On Road,182
41.65,-87.58,Hazard,On Shoulder,69
41.65,-87.58,Hazard,Unclassified,3
41.65,-87.58,Hazard,Weather,11
41.65,-87.58,Jam,Heavy Traffic,46
41.65,-87.58,Jam,Moderate Traffic,2
41.65,-87.58,Jam,Stand Still Traffic,21
41.65,-87.58,Jam,Unclassified,11
41.65,-87.57,Accident,Major,2
41.65,-87.57,Accident,Minor,4
41.65,-87.57,Accident,Unclassified,11
41.65,-87.57,Hazard,On Road,59
41.65,-87.57,Hazard,On Shoulder,36
41.65,-87.57,Hazard,Unclassified,2
41.65,-87.57,Hazard,Weather,10
41.65,-87.57,Jam,Heavy Traffic,27
41.65,-87.57,Jam,Moderate Traffic,1
41.65,-87.57,Jam,Stand Still Traffic,23
41.65,-87.57,Jam,Unclassified,15
41.65,-87.56,Accident,Major,1
41.65,-87.56,Accident,Minor,4
41.65,-87.56,Accident,Unclassified,5
41.65,-87.56,Hazard,On Road,20
41.65,-87.56,Hazard,On Shoulder,25
41.65,-87.56,Hazard,Weather,4
41.65,-87.56,Jam,Heavy Traffic,2
41.65,-87.56,Jam,Stand Still Traffic,2
41.65,-87.56,Jam,Unclassified,4
41.66,-87.65,Accident,Unclassified,5
41.66,-87.65,Hazard,On Road,51
41.66,-87.65,Hazard,On Shoulder,3
41.66,-87.65,Hazard,Unclassified,1
41.66,-87.65,Hazard,Weather,4
41.66,-87.65,Jam,Heavy Traffic,5
41.66,-87.65,Jam,Stand Still Traffic,5
41.66,-87.65,Jam,Unclassified,7
41.66,-87.64,Accident,Unclassified,2
41.66,-87.64,Hazard,On Road,27
41.66,-87.64,Hazard,On Shoulder,5
41.66,-87.64,Hazard,Weather,2
41.66,-87.64,Jam,Heavy Traffic,2
41.66,-87.64,Jam,Unclassified,8
41.66,-87.64,Road Closed,Unclassified,1
41.66,-87.63,Accident,Unclassified,5
41.66,-87.63,Hazard,On Road,30
41.66,-87.63,Hazard,On Shoulder,6
41.66,-87.63,Hazard,Weather,4
41.66,-87.63,Jam,Heavy Traffic,4
41.66,-87.63,Jam,Unclassified,2
41.66,-87.63,Road Closed,Unclassified,1
41.66,-87.62,Hazard,On Road,16
41.66,-87.62,Hazard,On Shoulder,2
41.66,-87.62,Jam,Heavy Traffic,5
41.66,-87.62,Jam,Stand Still Traffic,4
41.66,-87.62,Jam,Unclassified,1
41.66,-87.61,Hazard,On Road,1
41.66,-87.6,Accident,Major,73
41.66,-87.6,Accident,Minor,12
41.66,-87.6,Accident,Unclassified,88
41.66,-87.6,Hazard,On Road,472
41.66,-87.6,Hazard,On Shoulder,2095
41.66,-87.6,Hazard,Unclassified,14
41.66,-87.6,Hazard,Weather,113
41.66,-87.6,Jam,Heavy Traffic,238
41.66,-87.6,Jam,Moderate Traffic,12
41.66,-87.6,Jam,Stand Still Traffic,104
41.66,-87.6,Jam,Unclassified,87
41.66,-87.6,Road Closed,Event,1
41.66,-87.6,Road Closed,Unclassified,1
41.66,-87.59,Accident,Major,11
41.66,-87.59,Accident,Minor,1
41.66,-87.59,Accident,Unclassified,20
41.66,-87.59,Hazard,On Road,119
41.66,-87.59,Hazard,On Shoulder,462
41.66,-87.59,Hazard,Unclassified,5
41.66,-87.59,Hazard,Weather,28
41.66,-87.59,Jam,Heavy Traffic,59
41.66,-87.59,Jam,Stand Still Traffic,44
41.66,-87.59,Jam,Unclassified,20
41.66,-87.59,Road Closed,Event,2
41.66,-87.59,Road Closed,Unclassified,2
41.66,-87.57,Accident,Unclassified,1
41.66,-87.57,Hazard,On Road,3
41.66,-87.56,Accident,Unclassified,1
41.66,-87.56,Hazard,On Road,28
41.66,-87.56,Hazard,On Shoulder,17
41.66,-87.56,Hazard,Weather,6
41.66,-87.56,Jam,Heavy Traffic,3
41.66,-87.56,Jam,Stand Still Traffic,10
41.66,-87.56,Jam,Unclassified,4
41.67,-87.72,Hazard,On Road,1
41.67,-87.69,Hazard,On Road,12
