hour,updated_type,updated_subtype,longitude,latitude,alert_count
00:00,Accident,Major,-87.65,41.86,12
00:00,Accident,Major,-87.65,41.88,10
00:00,Accident,Major,-87.63,41.73,9
00:00,Accident,Major,-87.65,41.85,8
00:00,Accident,Major,-87.62,41.71,7
00:00,Accident,Major,-87.78,41.87,6
00:00,Accident,Major,-87.77,41.97,6
00:00,Accident,Major,-87.67,41.9,6
00:00,Accident,Major,-87.67,41.91,6
00:00,Accident,Major,-87.76,41.96,5
00:00,Accident,Minor,-87.74,41.95,6
00:00,Accident,Minor,-87.65,41.87,5
00:00,Accident,Minor,-87.77,41.97,4
00:00,Accident,Minor,-87.67,41.91,4
00:00,Accident,Minor,-87.8,41.98,3
00:00,Accident,Minor,-87.75,41.81,3
00:00,Accident,Minor,-87.75,41.96,3
00:00,Accident,Minor,-87.73,41.95,3
00:00,Accident,Minor,-87.72,41.94,3
00:00,Accident,Minor,-87.66,41.89,3
00:00,Accident,Unclassified,-87.65,41.87,25
00:00,Accident,Unclassified,-87.65,41.86,22
00:00,Accident,Unclassified,-87.63,41.9,20
00:00,Accident,Unclassified,-87.66,41.89,18
00:00,Accident,Unclassified,-87.65,41.88,18
00:00,Accident,Unclassified,-87.62,41.89,18
00:00,Accident,Unclassified,-87.65,41.85,17
00:00,Accident,Unclassified,-87.63,41.76,15
00:00,Accident,Unclassified,-87.8,41.98,14
00:00,Accident,Unclassified,-87.64,41.84,14
00:00,Hazard,On Road,-87.65,41.88,78
00:00,Hazard,On Road,-87.66,41.89,73
00:00,Hazard,On Road,-87.65,41.85,65
00:00,Hazard,On Road,-87.69,41.92,64
00:00,Hazard,On Road,-87.67,41.91,60
00:00,Hazard,On Road,-87.65,41.86,60
00:00,Hazard,On Road,-87.66,41.98,58
00:00,Hazard,On Road,-87.62,41.88,57
00:00,Hazard,On Road,-87.62,41.89,55
00:00,Hazard,On Road,-87.65,41.87,54
00:00,Hazard,On Shoulder,-87.66,41.89,213
00:00,Hazard,On Shoulder,-87.65,41.87,199
00:00,Hazard,On Shoulder,-87.64,41.83,159
00:00,Hazard,On Shoulder,-87.75,41.96,156
00:00,Hazard,On Shoulder,-87.67,41.9,144
00:00,Hazard,On Shoulder,-87.59,41.65,141
00:00,Hazard,On Shoulder,-87.64,41.8,137
00:00,Hazard,On Shoulder,-87.65,41.86,131
00:00,Hazard,On Shoulder,-87.64,41.84,126
00:00,Hazard,On Shoulder,-87.76,41.96,119
00:00,Hazard,Unclassified,-87.83,41.97,10
00:00,Hazard,Unclassified,-87.83,41.98,7
00:00,Hazard,Unclassified,-87.82,41.98,7
00:00,Hazard,Unclassified,-87.83,41.99,6
00:00,Hazard,Unclassified,-87.81,41.97,6
00:00,Hazard,Unclassified,-87.81,41.96,4
00:00,Hazard,Unclassified,-87.75,41.96,4
00:00,Hazard,Unclassified,-87.74,41.95,4
00:00,Hazard,Unclassified,-87.84,41.97,3
00:00,Hazard,Unclassified,-87.84,41.98,3
00:00,Hazard,Weather,-87.66,41.99,7
00:00,Hazard,Weather,-87.67,41.91,6
00:00,Hazard,Weather,-87.66,41.98,6
00:00,Hazard,Weather,-87.64,41.93,6
00:00,Hazard,Weather,-87.7,42.0,5
00:00,Hazard,Weather,-87.69,41.97,5
00:00,Hazard,Weather,-87.62,41.89,5
00:00,Hazard,Weather,-87.59,41.65,5
00:00,Hazard,Weather,-87.75,41.97,4
00:00,Hazard,Weather,-87.72,41.82,4
00:00,Jam,Heavy Traffic,-87.66,41.89,292
00:00,Jam,Heavy Traffic,-87.67,41.9,218
00:00,Jam,Heavy Traffic,-87.65,41.88,183
00:00,Jam,Heavy Traffic,-87.75,41.96,159
00:00,Jam,Heavy Traffic,-87.65,41.87,154
00:00,Jam,Heavy Traffic,-87.77,41.97,143
00:00,Jam,Heavy Traffic,-87.79,41.98,140
00:00,Jam,Heavy Traffic,-87.76,41.96,133
00:00,Jam,Heavy Traffic,-87.78,41.97,132
00:00,Jam,Heavy Traffic,-87.72,41.94,129
00:00,Jam,Moderate Traffic,-87.75,41.96,10
00:00,Jam,Moderate Traffic,-87.7,41.97,9
00:00,Jam,Moderate Traffic,-87.69,41.92,9
00:00,Jam,Moderate Traffic,-87.69,41.96,7
00:00,Jam,Moderate Traffic,-87.67,41.91,7
00:00,Jam,Moderate Traffic,-87.67,41.9,6
00:00,Jam,Moderate Traffic,-87.66,41.84,6
00:00,Jam,Moderate Traffic,-87.66,41.89,6
00:00,Jam,Moderate Traffic,-87.65,41.85,6
00:00,Jam,Moderate Traffic,-87.64,41.83,6
00:00,Jam,Stand Still Traffic,-87.66,41.89,217
00:00,Jam,Stand Still Traffic,-87.65,41.88,146
00:00,Jam,Stand Still Traffic,-87.65,41.87,125
00:00,Jam,Stand Still Traffic,-87.76,41.96,115
00:00,Jam,Stand Still Traffic,-87.78,41.97,98
00:00,Jam,Stand Still Traffic,-87.75,41.96,96
00:00,Jam,Stand Still Traffic,-87.77,41.97,95
00:00,Jam,Stand Still Traffic,-87.62,41.89,93
00:00,Jam,Stand Still Traffic,-87.66,41.98,85
00:00,Jam,Stand Still Traffic,-87.67,41.9,79
00:00,Jam,Unclassified,-87.66,41.89,70
00:00,Jam,Unclassified,-87.65,41.88,58
00:00,Jam,Unclassified,-87.67,41.9,45
00:00,Jam,Unclassified,-87.7,41.93,41
00:00,Jam,Unclassified,-87.65,41.87,39
00:00,Jam,Unclassified,-87.69,41.92,38
00:00,Jam,Unclassified,-87.79,41.98,35
00:00,Jam,Unclassified,-87.8,41.98,31
00:00,Jam,Unclassified,-87.77,41.97,31
00:00,Jam,Unclassified,-87.72,41.94,30
00:00,Road Closed,Construction,-87.68,41.99,1
00:00,Road Closed,Construction,-87.66,41.9,1
00:00,Road Closed,Construction,-87.64,41.83,1
00:00,Road Closed,Construction,-87.64,41.84,1
00:00,Road Closed,Event,-87.75,41.96,654
00:00,Road Closed,Event,-87.65,41.88,438
00:00,Road Closed,Event,-87.6,41.69,218
00:00,Road Closed,Event,-87.64,41.83,216
00:00,Road Closed,Event,-87.64,41.71,215
